customer_id,date_registered,username,gender,address,masked_address,email,masked_email,birthdate,residence,masked_residence,employer,job,age,age_group,salary,salary_range,credit_card_provider,credit_card_expire
24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd,2021-09-29,robertsbryan,M,"24675 Susan Valley
North Dianabury, MO 02475",********************************************,marcus58@hotmail.com,********************,28560,"195 Brandi Junctions
New Julieberg, NE 63410",********************************************,"Byrd, Welch and Holt",Chief Technology Officer,49,30-50,"$53,979.00",50K - 70K,VISA 19 digit,10/27
7b2bc220-0296-4914-ba46-d6cc6a55a62a,2019-08-17,egarcia,F,"4212 Cheryl Inlet
Port Davidmouth, NC 54884",*******************************************,alexanderkathy@hotmail.com,**************************,25901,"58272 Brown Isle Apt. 698
Port Michael, HI 04693",************************************************,Hurst PLC,Data scientist,43,30-50,"$81,510.00",70K - 90K,Discover,07/30
06febdf9-07fb-4a1b-87d7-a5f97d9a5faf,2019-11-01,turnermegan,M,"07388 Coleman Prairie
Lake Amy, IA 78695",****************************************,vwood@gmail.com,***************,39926,"36848 Jones Lane Suite 282
Marquezbury, ID 26822",************************************************,"Mora, Caldwell and Guerrero",Chief Operating Officer,47,30-50,"$205,345.00",Over 110K,VISA 16 digit,04/26
23df88e5-5dd3-46af-ac0d-0c6bd92e4b96,2021-12-31,richardcampbell,F,"PSC 6217, Box 2610
APO AA 53585",*******************************,kathleen36@gmail.com,********************,33812,"317 Lamb Cape Apt. 884
Lake Amy, DC 79074",*****************************************,Patel PLC,Counselling psychologist,34,30-50,"$116,095.00",Over 110K,VISA 16 digit,10/31
6069c2d7-7905-4993-a155-64f6aba143b1,2020-08-09,timothyjackson,F,"0325 Potter Roads
Lake Lisashire, NM 77502",******************************************,johnbest@hotmail.com,********************,32767,"21936 Mary Islands
Mendozafort, TN 37124",****************************************,Smith-Mejia,Mining engineer,57,50-60,"$107,529.00",90K - 110K,JCB 16 digit,05/28
aee2c6aa-c9a4-488c-9e10-6a09dbe2f199,2021-12-29,bobbycampos,M,"PSC 1355, Box 7413
APO AA 36433",*******************************,carlamarshall@hotmail.com,*************************,13126,"7676 Stephanie Drive Suite 922
New Anthony, IA 10634",****************************************************,"Wolf, Perez and Bryant",Civil Service administrator,49,30-50,"$41,205.00",30K - 50K,American Express,02/25
4d52c646-8cc7-4935-9119-130be16518ba,2019-09-13,longstefanie,F,"75631 Charles Spur Apt. 804
Bellchester, HI 14058",*************************************************,igordon@gmail.com,*****************,29739,"PSC 6686, Box 7297
APO AP 18320",*******************************,"Kim, Lucero and Brown",Fast food restaurant manager,59,50-60,"$176,593.00",Over 110K,JCB 16 digit,04/29
2a8e2be0-7e41-4a56-9092-7a6258e4d5a1,2021-10-06,kristinasmith,F,"73332 Eaton Tunnel
East Isabel, ID 01274",****************************************,ryanwilliams@yahoo.com,**********************,8710,"4302 Rowe Drive Suite 678
New Roger, SD 96993",*********************************************,Chavez-Patterson,"Editor, magazine features",52,50-60,"$68,884.00",50K - 70K,Diners Club / Carte Blanche,07/31
906fc563-00bb-4974-9e8a-d3d97608ad64,2021-11-01,seth59,F,"024 Rodriguez Crest
Avilashire, ID 47616",****************************************,monroeleslie@gmail.com,**********************,37059,"347 Arnold Shoal
Lake Gregory, IL 46021",***************************************,Watson-Park,Patent examiner,65,60+,"$179,308.00",Over 110K,VISA 19 digit,02/26
44f14da1-5b00-4b6a-bfe4-5be67a4b2521,2020-04-01,sarahrandolph,F,"82344 Vanessa Way
Davisport, ME 88716",*************************************,michael28@gmail.com,*******************,11350,"319 Peterson Radial
North Matthew, VT 09847",*******************************************,Forbes-Richards,Sports coach,22,21-30,"$99,255.00",90K - 110K,VISA 19 digit,01/23
0a657d74-2476-4381-a98a-bffa72149a43,2021-08-21,hamiltondebbie,M,"1395 Heather Rue Apt. 247
Jessicaside, WI 20853",***********************************************,william11@hotmail.com,*********************,3374,"Unit 9475 Box 9310
DPO AE 37277",*******************************,Cummings-Clayton,Claims inspector/assessor,46,30-50,"$67,773.00",50K - 70K,Mastercard,08/31
d1aa82a1-617d-48cf-b2e9-c89174d537b8,2021-08-22,natalie76,F,"41981 Gonzalez Common Suite 653
North Sarahmouth, HI 85146",**********************************************************,mary36@gmail.com,****************,21926,"15814 Meghan Estate
East Kevin, KS 43526",****************************************,Jordan-Webb,Comptroller,36,30-50,"$139,812.00",Over 110K,Discover,09/24
56c75862-4729-4cb6-8b58-a96ac2c811e0,2019-07-18,riveraholly,M,"4809 Joan Walks Suite 589
West Kellyshire, NE 49433",***************************************************,vsullivan@gmail.com,*******************,35353,"4168 Melissa Estate
North Adriennefurt, NJ 13464",************************************************,"Porter, Espinoza and Osborne",Building control surveyor,61,60+,"$75,155.00",70K - 90K,Diners Club / Carte Blanche,10/26
ed0f8007-ec29-481b-bca7-bbd7736624d0,2020-07-01,stephanie15,M,"364 Lopez Bridge Apt. 713
Nealfurt, WY 27047",********************************************,johnsonmichelle@yahoo.com,*************************,36357,"93291 Davis Via
Perryland, KS 55168",***********************************,"Mcdonald, Lucero and Lewis",Operations geologist,30,30-50,"$91,941.00",90K - 110K,VISA 19 digit,10/29
27bc967a-42c5-4576-9356-f9713ee98765,2022-05-09,timothycastillo,M,"PSC 9501, Box 9581
APO AP 56378",*******************************,schroederlaura@gmail.com,************************,10387,"499 Brooke Estates Suite 228
North Bill, AZ 02407",*************************************************,Fitzpatrick and Sons,Passenger transport manager,60,60+,"$123,491.00",Over 110K,American Express,10/26
a13e6d8a-1b1a-4803-af7e-f646d486773e,2022-06-21,williamdavis,F,"063 Tiffany Run
West Brettstad, NE 37765",****************************************,zmitchell@gmail.com,*******************,10792,"5597 April Center Suite 408
Marshalltown, FL 15327",**************************************************,"Clark, Giles and Bennett",Commissioning editor,27,21-30,"$109,639.00",90K - 110K,JCB 15 digit,01/28
40eba54a-a028-4397-8729-b53df9c2b114,2019-08-24,howelljerry,F,"08073 Matthews Ways
Alexanderland, OK 66468",*******************************************,lynntyler@hotmail.com,*********************,34166,"61415 Frost Station
South Rachaelbury, IA 63371",***********************************************,"Brown, Goodman and Thompson",Company secretary,50,50-60,"$54,934.00",50K - 70K,JCB 16 digit,06/28
0d206e0c-2641-4a08-be21-ed5e5d1c384a,2021-08-18,acarlson,F,"0070 Pitts Hill
Pricehaven, WV 70968",************************************,connie64@gmail.com,******************,41649,"5267 Patricia Oval
Port John, OK 53838",**************************************,Thompson Group,Pensions consultant,49,30-50,"$20,153.00",Under 30K,VISA 19 digit,10/26
956039c6-6276-4034-9074-7b2d4a3d204d,2020-04-25,ffrazier,M,"195 Smith Coves
South Nicole, MN 34742",**************************************,bryanestrada@yahoo.com,**********************,18465,"6158 Paige Inlet
South Rachelbury, MA 67450",*******************************************,Curry Inc,English as a foreign language teacher,37,30-50,"$230,013.00",Over 110K,Discover,03/26
6b6207fd-7226-49ae-a1c7-2bd1118383ee,2019-10-14,donald54,M,"USS Miller
FPO AE 91366",***********************,reyespatricia@hotmail.com,*************************,41743,"6086 Tracy Dam Apt. 268
Mariashire, IL 84740",********************************************,"Stevens, Torres and Baldwin","Surveyor, mining",41,30-50,"$150,303.00",Over 110K,JCB 16 digit,09/30
4f18395b-b0e4-440b-82dd-2c356a9fbf58,2020-09-17,boconnell,M,"8751 Sherry Viaduct
Ortizton, PA 45239",**************************************,jonescharles@gmail.com,**********************,22724,"4864 Townsend Junction
Davidside, MI 93832",******************************************,Carroll-Johnson,Regulatory affairs officer,52,50-60,"$112,168.00",Over 110K,VISA 13 digit,09/23
52980958-5053-4faa-9e9f-562734bf7cfc,2020-02-23,keyjohn,F,"9679 Villegas Roads Apt. 933
Alejandroshire, ID 03863",*****************************************************,garycarlson@hotmail.com,***********************,32392,"27682 William Centers Suite 676
Robbinsfurt, WA 66214",*****************************************************,Johnson Ltd,Sales promotion account executive,39,30-50,"$24,158.00",Under 30K,VISA 13 digit,11/28
eb129918-b2b7-4113-9887-199f402476a6,2022-01-25,john73,M,"6308 Ramos Cliff
Lake Steven, OR 68367",**************************************,wayne11@yahoo.com,*****************,17809,"02119 Liu Village Apt. 541
Nealtown, NY 56313",*********************************************,Mills and Sons,"Programme researcher, broadcasting/film/video",21,21-30,"$41,914.00",30K - 50K,Discover,03/23
7fd45b4b-7498-455c-9a92-778dcfe26964,2019-11-15,francislinda,M,"82429 Smith Villages
West Katherine, CO 70258",*********************************************,kelligutierrez@gmail.com,************************,33946,"3815 Graves Light Apt. 144
Zacharyhaven, WI 15120",*************************************************,Salazar Ltd,Barista,36,30-50,"$120,150.00",Over 110K,VISA 16 digit,01/27
24df512e-4d26-4ea5-9cd3-784c3b8e8b94,2022-06-01,antonio48,F,"31129 Sarah Grove
Janefort, PA 46538",************************************,elizabeth41@hotmail.com,***********************,28717,"517 Simon Ferry Apt. 834
Campbellhaven, ME 93955",************************************************,"Harris, Carter and Turner",Personnel officer,52,50-60,"$101,601.00",90K - 110K,Maestro,08/28
b4361de5-a620-4e4a-be8e-e3a6bf7a2bc8,2021-11-18,lsmith,M,"35533 Kimberly Lake
North Stephenshire, TX 75021",************************************************,tdunlap@gmail.com,*****************,20659,"8300 Moore Crest Suite 521
Robinsonfort, OK 33610",*************************************************,Johnson-Lambert,Sales promotion account executive,18,18-21,"$111,861.00",Over 110K,VISA 16 digit,12/25
3d1570c0-1ed3-4a5c-9fa5-1f3cc42f47c5,2021-02-16,christina45,F,"42574 Barrera Groves Suite 458
Gordonmouth, WI 61471",****************************************************,lawrencejennifer@hotmail.com,****************************,26803,"945 Amy Square Suite 464
East Laurahaven, NH 25093",**************************************************,Tucker-Garcia,"Lighting technician, broadcasting/film/video",42,30-50,"$102,087.00",90K - 110K,Diners Club / Carte Blanche,06/29
95e82636-6b77-4bcf-be39-41eabe0cf3a0,2020-07-27,kerrjacob,M,"7174 Lee Port
West Jennifermouth, MN 12922",******************************************,robbinsmichael@gmail.com,************************,33895,"912 Ashley Extension Suite 904
Port Wandachester, HI 96685",**********************************************************,"Vargas, Stein and Acosta",Tax inspector,20,18-21,"$68,162.00",50K - 70K,Discover,06/32
b350d27b-06d9-4c93-88a6-e596d32d8538,2020-08-07,margarettaylor,M,"71305 Pamela Forges Apt. 796
West Patrick, DE 53132",***************************************************,lisabrewer@gmail.com,********************,12672,"3771 Smith Estate Apt. 951
Diazside, VT 35214",*********************************************,"Baker, Nichols and Cardenas","Accountant, chartered management",63,60+,"$42,447.00",30K - 50K,Diners Club / Carte Blanche,10/26
e139b16e-1428-4cf6-b934-20f9c0a1417f,2021-07-21,friedmanchristian,M,"517 Rachel Manors
Jessicamouth, DE 10216",****************************************,ahill@hotmail.com,*****************,11334,"USS Kelly
FPO AA 36126",**********************,Jones-Moody,Solicitor,28,21-30,"$175,235.00",Over 110K,Diners Club / Carte Blanche,02/27
b3a195bf-69d3-4c4f-903f-a0fe8dcf7bae,2020-06-13,sandersmatthew,F,"39600 Johnson Keys Suite 257
West Taylorstad, NC 39428",******************************************************,williamsmichael@yahoo.com,*************************,35229,"3085 Taylor Pass Apt. 548
Nicholasland, UT 06656",************************************************,Dominguez Ltd,"Teacher, early years/pre",46,30-50,"$167,463.00",Over 110K,Discover,07/27
f07f2a55-2f8e-47ce-9488-382d09a2f291,2021-10-23,andersonjasmine,M,"139 Richard Extension
Lindamouth, NJ 04026",******************************************,mary19@yahoo.com,****************,30109,"4033 Joseph Manor Suite 881
South Holly, RI 27676",*************************************************,Lutz Group,Physiotherapist,28,21-30,"$171,890.00",Over 110K,JCB 15 digit,08/29
